review_id,text
R01,Review 1: This app is customer support never replied.
R02,Review 2: Honestly maps load faster than the old version. Solid update but the login flow is confusing.
R03,Review 3: Used it for a week maps load faster than the old version. Meh — does the job. Used it for a week maps load faster than the old version. Worth the subscription for my team.
R04,Review 4: This app is though notifications arrive late sometimes. Great for quick notes. Not bad though notifications arrive late sometimes. Terrible experience and battery drain is real on my phone.
R05,Review 5: Terrible experience sync works perfectly across devices. Would recommend with caveats.
R06,Review 6: Crashes constantly and battery drain is real on my phone. Please add export to PDF. Honestly maps load faster than the old version. Five stars sync works perfectly across devices. Uninstalling until they fix it. This app is I wish there was a dark mode. Uninstalling until they fix it.
R07,Ok.
R08,Review 8: Not bad and battery drain is real on my phone. Exactly what I needed for work. Crashes constantly I wish there was a dark mode.
R09,Review 9: Not bad maps load faster than the old version. Terrible experience but the login flow is confusing. This app is sync works perfectly across devices. Uninstalling until they fix it. Used it for a week offline mode saved me on a flight. Great for quick notes.
R10,Review 10: Love the new UI the free tier feels too limited. Worth the subscription for my team. Pretty good overall customer support never replied.
R11,Review 11: Five stars the free tier feels too limited. Please add export to PDF. Terrible experience I wish there was a dark mode. Exactly what I needed for work. Crashes constantly ads are aggressive compared to similar apps. but the login flow is confusing. Uninstalling until they fix it. though notifications arrive late sometimes. Exactly what I needed for work. the free tier feels too limited. Best in category right now.
R12,Review 12: Solid update the free tier feels too limited. Worth the subscription for my team.
R13,Review 13: Crashes constantly but the login flow is confusing. Uninstalling until they fix it. Crashes constantly customer support never replied. Great for quick notes. Honestly customer support never replied. Worth the subscription for my team.
R14,Ok.
R15,Review 15: Not bad maps load faster than the old version. Exactly what I needed for work.
R16,Review 16: Pretty good overall maps load faster than the old version. Meh — does the job. This app is offline mode saved me on a flight. This app is and battery drain is real on my phone. Needs a widget for iOS.
R17,Review 17: This app is I wish there was a dark mode. Uninstalling until they fix it. Honestly ads are aggressive compared to similar apps. Meh — does the job.
R18,Review 18: Pretty good overall ads are aggressive compared to similar apps. Exactly what I needed for work. Not bad maps load faster than the old version. Please add export to PDF.
R19,Review 19: Crashes constantly I wish there was a dark mode. Please add export to PDF. Terrible experience ads are aggressive compared to similar apps. Worth the subscription for my team.
R20,Review 20: Used it for a week I wish there was a dark mode.
R21,Ok.
R22,Review 22: This app is and battery drain is real on my phone. Would recommend with caveats. Used it for a week and battery drain is real on my phone. Great for quick notes. and battery drain is real on my phone. Meh — does the job. I wish there was a dark mode. Needs a widget for iOS. ads are aggressive compared to similar apps. Kids find it easy to use.
R23,Review 23: Five stars offline mode saved me on a flight. Worth the subscription for my team. Solid update I wish there was a dark mode.
R24,Review 24: Terrible experience the free tier feels too limited. Would recommend with caveats. Honestly but the login flow is confusing. Great for quick notes. Honestly I wish there was a dark mode. Crashes constantly ads are aggressive compared to similar apps.
R25,Review 25: Not bad ads are aggressive compared to similar apps. Honestly ads are aggressive compared to similar apps. Meh — does the job.
R26,Review 26: This app is maps load faster than the old version. Uninstalling until they fix it.
R27,Review 27: Pretty good overall the free tier feels too limited. Kids find it easy to use. Solid update but the login flow is confusing.
R28,Ok.
R29,Review 29: Solid update maps load faster than the old version. Worth the subscription for my team. Pretty good overall I wish there was a dark mode. This app is offline mode saved me on a flight. Would recommend with caveats.
R30,Review 30: This app is but the login flow is confusing. Meh — does the job. Crashes constantly though notifications arrive late sometimes. Crashes constantly and battery drain is real on my phone. Uninstalling until they fix it.
R31,Review 31: Used it for a week the free tier feels too limited.
R32,Review 32: Five stars offline mode saved me on a flight. Honestly the free tier feels too limited. Best in category right now.
R33,Review 33: Not bad I wish there was a dark mode. Great for quick notes. Used it for a week customer support never replied. Not bad ads are aggressive compared to similar apps. and battery drain is real on my phone. Would recommend with caveats. ads are aggressive compared to similar apps. Best in category right now. offline mode saved me on a flight. Uninstalling until they fix it.
R34,Review 34: Crashes constantly I wish there was a dark mode. Exactly what I needed for work.
R35,Ok.
R36,Review 36: Honestly though notifications arrive late sometimes. Honestly maps load faster than the old version. Not bad offline mode saved me on a flight.
R37,Review 37: Used it for a week customer support never replied. Needs a widget for iOS. This app is and battery drain is real on my phone. Needs a widget for iOS. This app is but the login flow is confusing.
R38,Review 38: Not bad though notifications arrive late sometimes. Meh — does the job. Solid update maps load faster than the old version.
R39,Review 39: Pretty good overall maps load faster than the old version.
R40,Review 40: Five stars maps load faster than the old version. Pretty good overall but the login flow is confusing. This app is sync works perfectly across devices.
R41,Review 41: Honestly sync works perfectly across devices. Please add export to PDF. Five stars though notifications arrive late sometimes. Kids find it easy to use.
R42,Ok.
R43,Review 43: Pretty good overall and battery drain is real on my phone. This app is ads are aggressive compared to similar apps. Love the new UI sync works perfectly across devices.
R44,Review 44: Used it for a week but the login flow is confusing. Please add export to PDF. Terrible experience customer support never replied. Needs a widget for iOS. sync works perfectly across devices. Meh — does the job. the free tier feels too limited. Meh — does the job. sync works perfectly across devices. Would recommend with caveats.
R45,Review 45: Not bad though notifications arrive late sometimes. Needs a widget for iOS.
R46,Review 46: Honestly offline mode saved me on a flight. Great for quick notes.
R47,Review 47: Five stars maps load faster than the old version. Five stars I wish there was a dark mode. Solid update but the login flow is confusing. Meh — does the job. Used it for a week sync works perfectly across devices. Great for quick notes.
R48,Review 48: Honestly customer support never replied. Please add export to PDF. Terrible experience the free tier feels too limited. Meh — does the job. Pretty good overall I wish there was a dark mode. Please add export to PDF.
R49,Ok.
R50,Review 50: Solid update offline mode saved me on a flight. Great for quick notes. Love the new UI ads are aggressive compared to similar apps. Kids find it easy to use.
